title,console,genre_x,publisher,developer_x,critic_score,total_sales,release_date_x,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,user_score,Title,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,company,stock
Metroid: Other M,Wii,Action,Nintendo,Nintendo SPD Production Group 1/Team Ninja,77.0,1.36,2010-08-31,0.85,0.27,0.13,0.1,1.34,71.0,482.0,T,,,,,,,65.0,Metroid: Other M,TeamNinja,Action;Action Adventure;Shooter;Sci-Fi;Sci-Fi;General;Third-Person;Sci-Fi,Wii,79.0,67.0,1 Player,Nintendo,NTDOY
Watch Dogs 2,XOne,Action,Ubisoft,Ubisoft,83.0,1.35,2016-11-15,0.17,0.16,0.0,0.03,0.36,9.0,131.0,M,9.0,2.0,0.0,38.0,6.0,4.0,77.0,Watch Dogs 2,UbisoftMontreal,Action Adventure;Open-World,XOne,81.0,75.0,Up to 4 ,Ubisoft,UBSFY
Devil May Cry 4,X360,Action,Capcom,Capcom,85.0,1.34,2008-02-05,0.79,0.34,0.08,0.13,1.34,61.0,248.0,M,,,,,,,80.0,Devil May Cry 4,Capcom,Action;Action Adventure;Shooter;Fantasy;General;Fantasy;Linear;Third-Person;Fantasy,X360,84.0,81.0,No Online Multiplayer,Capcom,CCOEF
Kid Icarus: Uprising,3DS,Action,Nintendo,Project Sora,80.0,1.27,2012-03-23,0.48,0.35,0.36,0.07,1.27,75.0,487.0,E10+,66.0,8.0,1.0,170.0,7.0,4.0,87.0,Kid Icarus: Uprising,"Opus,ProjectSora",Action Adventure;Fantasy;General;Fantasy,3DS,83.0,88.0,Up to 6 ,Nintendo,NTDOY
Alan Wake,X360,Action,Microsoft Game Studios,Remedy Entertainment,83.0,1.33,2010-05-18,0.66,0.5,0.05,0.13,1.33,100.0,1156.0,T,,,,,,,81.0,Alan Wake,RemedyEntertainment,Action Adventure;Modern;Horror;Horror;Survival,X360,83.0,81.0,not specified,Microsoft,MSFT
Resident Evil 6,PC,Action,Capcom,Capcom,69.0,0.04,2013-03-22,0.0,0.04,0.0,0.0,0.04,18.0,868.0,M,6.0,10.0,2.0,75.0,45.0,70.0,59.0,,,,,,,,Capcom,CCOEF
[Prototype],X360,Action,Activision,Radical Entertainment,79.0,1.31,2009-06-09,0.84,0.35,0.0,0.12,1.31,83.0,356.0,M,,,,,,,78.0,,,,,,,,Activision Blizzard,ATVI
Devil May Cry 3: Dante's Awakening,PS2,Action,Capcom,Capcom,86.0,2.09,2005-03-01,0.99,0.63,0.29,0.19,2.09,60.0,212.0,M,,,,,,,90.0,Devil May Cry 3: Dante's Awakening,Capcom,Action Adventure;Fantasy,PS2,84.0,90.0,1 Player,Capcom,CCOEF
Assassin's Creed: Rogue,PS3,Action,Ubisoft,Ubisoft Sofia,72.0,1.3,2014-11-11,0.46,0.56,0.06,0.2,1.29,53.0,292.0,M,,,,,,,75.0,,,,,,,,Ubisoft,UBSFY
Manhunt,PS2,Action,Rockstar Games,Rockstar North,80.0,1.28,2003-11-18,0.63,0.49,0.0,0.16,1.28,47.0,136.0,M,,,,,,,83.0,,,,,,,,Take Two Interactive,TTWO
Silent Hill 2,PS2,Action,Konami,KCET,89.0,1.28,2001-09-24,0.62,0.49,0.0,0.16,1.28,34.0,557.0,M,,,,,,,89.0,Silent Hill 2,KCET,Action Adventure;Horror,PS2,89.0,90.0,1 Player,Konami,9766.T
Assassin's Creed: Bloodlines,PSP,Action,Ubisoft,Griptonite Studio,63.0,1.26,2009-11-17,0.43,0.47,0.05,0.28,1.23,38.0,69.0,M,,,,,,,72.0,,,,,,,,Ubisoft,UBSFY
Lara Croft Tomb Raider: The Angel of Darkness,PS2,Action,Eidos Interactive,Core Design Ltd.,52.0,1.25,2003-06-20,0.61,0.48,0.0,0.16,1.25,37.0,106.0,T,,,,,,,62.0,,,,,,,,Square Enix,SQNXF
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,Action,Ubisoft,Ubisoft Shanghai,87.0,1.25,2004-06-16,0.52,0.56,0.0,0.17,1.25,45.0,34.0,T,,,,,,,86.0,,,,,,,,Ubisoft,UBSFY
[Prototype],PS3,Action,Activision,Radical Entertainment,81.0,1.24,2009-06-09,0.65,0.4,0.0,0.19,1.24,53.0,308.0,M,,,,,,,77.0,,,,,,,,Activision Blizzard,ATVI
Ben 10: Protector of Earth,Wii,Action,D3 Publisher,High Voltage Software,63.0,1.23,2007-10-30,0.54,0.55,0.0,0.13,1.23,6.0,9.0,E10+,,,,,,,77.0,,,,,,,,Bandai Namco,7832.T
