title,console,genre_x,publisher,developer_x,critic_score,total_sales,release_date_x,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,user_score,Title,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players,company,stock
Oddworld: Stranger's Wrath,XB,Action,Electronic Arts,Oddworld Inhabitants,88.0,0.26,2005-01-25,0.19,0.06,0.0,0.01,0.26,65.0,58.0,T,,,,,,,91.0,Oddworld: Stranger's Wrath,OddworldInhabitants,Action Adventure;Sci-Fi,XB,88.0,89.0,1 Player,EA,EA
Tom Clancy's Splinter Cell: Double Agent,PS3,Action,Ubisoft,Ubisoft Shanghai,83.0,0.26,2007-03-30,0.2,0.03,0.0,0.03,0.26,17.0,41.0,M,,,,,,,65.0,,,,,,,,Ubisoft,UBSFY
Peter Jackson's King Kong: The Official Game of the Movie,X360,Action,Ubisoft,Ubisoft Montpellier,79.0,0.26,2005-11-21,0.2,0.03,0.0,0.02,0.26,57.0,79.0,T,,,,,,,75.0,Peter Jackson's King Kong: The Official Game of the Movie,UbisoftMontpellier,Action Adventure;Modern;General;Modern,X360,80.0,76.0,1 Player,Ubisoft,UBSFY
NHL 08,X360,Action,Electronic Arts,Unknown,85.0,0.25,2007-09-12,0.22,0.01,0.0,0.02,0.25,44.0,44.0,E10+,,,,,,,82.0,NHL 08,EACanada,Sports;Traditional;Team;Ice Hockey;Sim;Sim,X360,85.0,82.0,1-8 ,EA,EA
Spider-Man: Web of Shadows,Wii,Action,Activision,Shaba Games / Treyarch,60.0,0.25,2008-10-21,0.22,0.01,0.0,0.02,0.25,20.0,13.0,T,,,,,,,69.0,,,,,,,,Activision Blizzard,ATVI
Spider-Man: Edge of Time,X360,Action,Activision,Beenox,58.0,0.25,2011-10-04,0.18,0.05,0.0,0.02,0.25,50.0,33.0,T,,,,,,,68.0,,,,,,,,Activision Blizzard,ATVI
Devil Kings,PS2,Action,Capcom,Capcom,64.0,0.25,2005-10-12,0.03,0.03,0.18,0.01,0.25,27.0,12.0,T,,,,,,,74.0,,,,,,,,Capcom,CCOEF
X-Men Origins: Wolverine,Wii,Action,Activision,Raven Software,53.0,0.25,2009-05-01,0.19,0.04,0.0,0.02,0.25,8.0,10.0,T,,,,,,,61.0,,,,,,,,Activision Blizzard,ATVI
X-Men: Destiny,PS3,Action,Activision,Silicon Knights,51.0,0.24,2011-09-27,0.14,0.07,0.0,0.03,0.24,33.0,37.0,T,,,,,,,48.0,,,,,,,,Activision Blizzard,ATVI
Genma Onimusha,XB,Action,Capcom,Capcom,83.0,0.24,2002-01-28,0.14,0.04,0.05,0.01,0.24,27.0,10.0,M,,,,,,,86.0,Genma Onimusha,Capcom,Action Adventure;Fantasy,XB,83.0,87.0,1 Player,Capcom,CCOEF
Peter Jackson's King Kong: The Official Game of the Movie,GC,Action,Ubisoft,Ubisoft Montpellier,81.0,0.24,2005-11-21,0.19,0.05,0.0,0.01,0.24,30.0,8.0,T,,,,,,,83.0,Peter Jackson's King Kong: The Official Game of the Movie,UbisoftMontpellier,Action Adventure;Modern,GC,81.0,83.0,1 Player,Ubisoft,UBSFY
Azurik: Rise of Perathia,XB,Action,Microsoft,Adrenium,52.0,0.24,2001-11-25,0.18,0.05,0.0,0.01,0.24,26.0,14.0,T,,,,,,,85.0,,,,,,,,Microsoft,MSFT
Bakugan: Battle Brawlers,X360,Action,Activision,MTO,60.0,0.24,2009-10-20,0.2,0.02,0.0,0.02,0.24,16.0,9.0,E,,,,,,,52.0,,,,,,,,Activision Blizzard,ATVI
Resident Evil Archives: Resident Evil Zero,Wii,Action,Capcom,Capcom Production Studio 4,58.0,0.24,2009-12-01,0.13,0.03,0.06,0.01,0.24,17.0,37.0,M,,,,,,,82.0,,,,,,,,Capcom,CCOEF
Transformers: Devastation,PS4,Action,Activision,PlatinumGames,77.0,0.24,2015-10-06,0.1,0.09,0.0,0.04,0.23,50.0,160.0,T,37.0,13.0,0.0,29.0,6.0,2.0,75.0,,,,,,,No Online Multiplayer,Activision Blizzard,ATVI
Fantastic 4,GC,Action,Activision,7 Studios,61.0,0.24,2005-06-27,0.19,0.05,0.0,0.01,0.24,32.0,6.0,T,,,,,,,40.0,,,,,,,,Activision Blizzard,ATVI
Spider-Man: Shattered Dimensions,Wii,Action,Activision,Beenox Studios,75.0,0.24,2010-09-07,0.12,0.09,0.0,0.02,0.24,13.0,15.0,T,,,,,,,77.0,,,,,,,,Activision Blizzard,ATVI
Grand Theft Auto,GBA,Action,Rockstar Games,Digital Eclipse,71.0,0.24,2004-10-26,0.17,0.06,0.0,0.0,0.24,33.0,23.0,M,,,,,,,71.0,,,,,,,,Take Two Interactive,TTWO
Ghost Rider,PSP,Action,2K Games,Climax Group,50.0,0.24,2007-02-13,0.22,0.0,0.0,0.02,0.24,17.0,13.0,T,,,,,,,57.0,,,,,,,,Take Two Interactive,TTWO
X-Men: Destiny,X360,Action,Activision,Silicon Knights,49.0,0.24,2011-09-27,0.18,0.04,0.0,0.02,0.24,51.0,72.0,T,,,,,,,50.0,,,,,,,,Activision Blizzard,ATVI
Bakugan: Battle Brawlers,PS3,Action,Activision,MTO,63.0,0.24,2009-10-20,0.19,0.03,0.0,0.02,0.23,10.0,5.0,E,,,,,,,82.0,,,,,,,,Activision Blizzard,ATVI
G.I. Joe: The Rise of Cobra,X360,Action,Electronic Arts,Double Helix Games,38.0,0.24,2009-08-04,0.17,0.05,0.0,0.02,0.24,59.0,22.0,T,,,,,,,47.0,,,,,,,,EA,EA
God of War Collection,PSV,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,73.0,0.24,2014-05-06,0.08,0.06,0.01,0.05,0.2,28.0,133.0,M,14.0,14.0,0.0,14.0,4.0,5.0,74.0,,,,,,,,Sony,SONY
Prince of Persia: The Forgotten Sands,Wii,Action,Ubisoft,Quebec City,75.0,0.24,2010-05-18,0.1,0.11,0.0,0.02,0.23,24.0,31.0,T,,,,,,,81.0,Prince of Persia: The Forgotten Sands,UbisoftQuebec,Action Adventure;Fantasy;General;Fantasy,Wii,77.0,81.0,No Online Multiplayer,Ubisoft,UBSFY
Afro Samurai,X360,Action,Namco Bandai,Namco Bandai Games,64.0,0.24,2009-01-27,0.16,0.05,0.0,0.02,0.24,70.0,57.0,M,,,,,,,62.0,,,,,,,,Bandai Namco,7832.T
Buffy the Vampire Slayer,XB,Action,Electronic Arts,Double Helix Games,79.0,0.23,2002-08-18,0.18,0.05,0.0,0.01,0.23,30.0,31.0,T,,,,,,,91.0,Buffy the Vampire Slayer,DoubleHelixGames,Action;Beat-'Em-Up,XB,79.0,80.0,1 Player,EA,EA
Tom Clancy's Splinter Cell,GC,Action,Ubisoft,Ubisoft,89.0,0.23,2003-04-10,0.18,0.05,0.0,0.01,0.23,19.0,25.0,T,,,,,,,87.0,Tom Clancy's Splinter Cell,UbisoftShanghai,Action Adventure;Modern,GC,89.0,86.0,1 Player,Ubisoft,UBSFY
Madagascar: Escape 2 Africa,PS3,Action,Activision,Toys for Bob,58.0,0.23,2008-11-04,0.12,0.08,0.0,0.03,0.23,13.0,4.0,E10+,,,,,,,68.0,,,,,,,,Activision Blizzard,ATVI
RIGS: Mechanized Combat League,PS4,Action,Sony Interactive Entertainment,Guerrilla Cambridge,79.0,0.23,2016-10-13,0.03,0.05,0.01,0.02,0.11,42.0,76.0,T,31.0,14.0,0.0,19.0,5.0,3.0,79.0,RIGS: Mechanized Combat League,GuerillaCambridge,Simulation;Vehicle;Combat,PS4,78.0,76.0,Up to 6 ,Sony,SONY
NBA 2K6,X360,Action,2K Sports,Unknown,80.0,0.23,2005-11-16,0.21,0.01,0.0,0.02,0.23,33.0,31.0,E,,,,,,,86.0,NBA 2K6,VisualConcepts,Sports;Traditional;Team;Basketball;Sim;Sim,X360,81.0,87.0,8  Online,Take Two Interactive,TTWO
Genji: Dawn of the Samurai,PS2,Action,Sony Computer Entertainment,Game Republik,74.0,0.23,2005-09-20,0.11,0.09,0.0,0.03,0.23,49.0,19.0,M,,,,,,,83.0,,,,,,,,Sony,SONY
Saint Seiya: Sanctuary Battle,PS3,Action,Namco Bandai Games,Dimps Corporation,62.0,0.23,2012-05-16,0.0,0.09,0.11,0.02,0.23,14.0,34.0,,,,,,,,73.0,,,,,,,,Bandai Namco,7832.T
Spider-Man: Edge of Time,PS3,Action,Activision,Beenox,58.0,0.23,2011-10-04,0.13,0.07,0.0,0.03,0.22,43.0,29.0,T,,,,,,,72.0,,,,,,,,Activision Blizzard,ATVI
Silent Hill: Book of Memories,PSV,Action,Konami Digital Entertainment,Way Forward Technologies,58.0,0.23,2012-10-16,0.1,0.05,0.0,0.04,0.2,57.0,102.0,M,5.0,41.0,11.0,9.0,11.0,11.0,51.0,,,,,,,Up to 4 ,Konami,9766.T
Spartan: Total Warrior,PS2,Action,Sega,The Creative Assembly,72.0,0.22,2005-10-25,0.11,0.09,0.0,0.03,0.22,33.0,65.0,M,,,,,,,84.0,,,,,,,,Sega,6460.T
Viewtiful Joe 2,GC,Action,Capcom,Clover Studio,86.0,0.22,2004-11-18,0.17,0.04,0.0,0.01,0.22,39.0,19.0,T,,,,,,,83.0,Viewtiful Joe 2,CloverStudio,Action;Beat-'Em-Up,GC,86.0,83.0,1 Player,Capcom,CCOEF
From Russia With Love,GC,Action,Electronic Arts,EA Redwood Shores,73.0,0.22,2005-11-15,0.17,0.04,0.0,0.01,0.22,20.0,13.0,T,,,,,,,85.0,,,,,,,,EA,EA
Ben 10 Alien Force: Vilgax Attacks,X360,Action,D3 Publisher,Papaya Studio Corporation,61.0,0.22,2009-10-27,0.11,0.09,0.0,0.02,0.22,9.0,4.0,E10+,,,,,,,83.0,,,,,,,,Bandai Namco,7832.T
Anarchy Reigns,PS3,Action,Sega,PlatinumGames,71.0,0.21,2013-01-08,0.1,0.03,0.06,0.02,0.2,35.0,106.0,M,,,,,,,82.0,,,,,,,,Sega,6460.T
Tenchu: Return From Darkness,XB,Action,Activision,K2 LLC,70.0,0.21,2004-03-10,0.16,0.05,0.0,0.01,0.21,55.0,6.0,M,,,,,,,70.0,,,,,,,,Activision Blizzard,ATVI
Frogger 3D,3DS,Action,Konami,Alpha Unit,70.0,0.21,2011-09-20,0.16,0.03,0.0,0.01,0.21,11.0,8.0,E,0.0,6.0,5.0,1.0,1.0,0.0,55.0,,,,,,,4  Online,Konami,9766.T
Viewtiful Joe 2,PS2,Action,Capcom,Clover Studio,85.0,0.21,2004-12-07,0.1,0.08,0.0,0.03,0.21,29.0,17.0,T,,,,,,,77.0,Viewtiful Joe 2,CloverStudio,Action;Beat-'Em-Up,PS2,85.0,78.0,1 Player,Capcom,CCOEF
G.I. Joe: The Rise of Cobra,PS3,Action,Electronic Arts,Double Helix Games,43.0,0.21,2009-08-04,0.11,0.07,0.0,0.03,0.21,32.0,13.0,T,,,,,,,48.0,,,,,,,,EA,EA
Deus Ex: The Conspiracy,PS2,Action,Eidos Interactive,Ion Storm,80.0,0.21,2002-03-25,0.1,0.08,0.0,0.03,0.21,25.0,49.0,M,,,,,,,89.0,Deus Ex: The Conspiracy,IonStorm,Action Adventure;Sci-Fi,PS2,81.0,89.0,1 Player,Square Enix,SQNXF
Spider-Man: Web of Shadows,PS2,Action,Activision,Shaba Games / Treyarch,69.0,0.21,2008-10-21,0.1,0.08,0.0,0.03,0.21,4.0,16.0,E10+,,,,,,,41.0,,,,,,,,Activision Blizzard,ATVI
Batman Begins,XB,Action,Electronic Arts,Eurocom Entertainment Software,65.0,0.21,2005-06-14,0.16,0.04,0.0,0.01,0.21,56.0,21.0,T,,,,,,,71.0,,,,,,,,EA,EA
JSRF: Jet Set Radio Future,XB,Action,Sega,Smilebit,88.0,0.21,2002-02-28,0.13,0.04,0.03,0.01,0.21,36.0,102.0,T,,,,,,,82.0,JSRF: Jet Set Radio Future,Smilebit,Action;Platformer;3D,XB,88.0,83.0,1-4 ,Sega,6460.T
Zone of the Enders HD Collection,X360,Action,Konami Digital Entertainment,Kojima Productions,75.0,0.21,2012-10-30,0.14,0.03,0.01,0.02,0.2,21.0,20.0,M,,,,,,,88.0,,,,,,,,Konami,9766.T
Project: Snowblind,PS2,Action,Eidos Interactive,Unknown,78.0,0.21,2005-02-23,0.1,0.08,0.0,0.03,0.21,54.0,23.0,T,,,,,,,83.0,Project: Snowblind,CrystalDynamics,Action;Shooter;First-Person;Sci-Fi,PS2,78.0,83.0,16  Online,Square Enix,SQNXF
Tenchu: Shadow Assassins,Wii,Action,Ubisoft,Acquire,70.0,0.21,2009-02-05,0.15,0.01,0.03,0.01,0.21,35.0,24.0,M,,,,,,,78.0,,,,,,,,Ubisoft,UBSFY
X2: Wolverine's Revenge,XB,Action,Activision,GenePool,58.0,0.21,2003-04-15,0.15,0.04,0.0,0.01,0.21,27.0,9.0,T,,,,,,,64.0,,,,,,,,Activision Blizzard,ATVI
Kung Fu Rider,PS3,Action,Sony Computer Entertainment,SCE Japan Studio,43.0,0.2,2010-09-17,0.06,0.09,0.01,0.03,0.2,45.0,21.0,E10+,,,,,,,37.0,,,,,,,,Sony,SONY
Planet 51,Wii,Action,Sega,Pyro Studios,53.0,0.2,2009-11-17,0.17,0.01,0.0,0.02,0.2,6.0,4.0,E,,,,,,,58.0,,,,,,,,Sega,6460.T
Dragon Ball: Revenge of King Piccolo,Wii,Action,Namco Bandai,Bandai Namco Games,61.0,0.2,2009-10-20,0.12,0.03,0.03,0.02,0.2,25.0,15.0,E10+,,,,,,,80.0,,,,,,,,Bandai Namco,7832.T
Rise of Nightmares,X360,Action,Sega,Sega,55.0,0.47,2011-09-06,0.28,0.13,0.01,0.04,0.47,56.0,44.0,M,,,,,,,78.0,,,,,,,,Sega,6460.T
From Russia With Love,XB,Action,Electronic Arts,EA Redwood Shores,71.0,0.2,2005-11-01,0.15,0.04,0.0,0.01,0.2,34.0,12.0,T,,,,,,,88.0,,,,,,,,EA,EA
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,PS2,Action,Konami,Konami,53.0,0.2,2005-11-01,0.1,0.08,0.0,0.03,0.2,20.0,10.0,E10+,,,,,,,70.0,,,,,,,,Konami,9766.T
Dante's Inferno,PSP,Action,Electronic Arts,Visceral Games,66.0,0.2,2010-03-02,0.12,0.03,0.01,0.02,0.19,14.0,46.0,M,,,,,,,81.0,,,,,,,,EA,EA
Afro Samurai,PS3,Action,Namco Bandai,Namco Bandai Games,65.0,0.2,2009-01-27,0.12,0.05,0.0,0.03,0.2,52.0,27.0,M,,,,,,,61.0,,,,,,,,Bandai Namco,7832.T
X-Men Origins: Wolverine,DS,Action,Activision,Griptonite Games,55.0,0.2,2009-05-01,0.15,0.03,0.0,0.02,0.2,8.0,8.0,E10+,,,,,,,81.0,,,,,,,,Activision Blizzard,ATVI
Captain America: Super Soldier,PS3,Action,Sega,Next Level Games,62.0,0.2,2011-07-19,0.1,0.06,0.0,0.03,0.19,34.0,40.0,T,,,,,,,73.0,,,,,,,,Sega,6460.T
No More Heroes: Heroes' Paradise,PS3,Action,Konami,FeelPlus,74.0,0.2,2011-08-16,0.1,0.04,0.04,0.02,0.19,38.0,38.0,M,,,,,,,73.0,,,,,,,,Konami,9766.T
X-Men Origins: Wolverine,PSP,Action,Activision,Amaze Entertainment,54.0,0.2,2009-05-01,0.13,0.03,0.0,0.03,0.19,6.0,12.0,T,,,,,,,75.0,,,,,,,,Activision Blizzard,ATVI
Peter Jackson's King Kong: The Official Game of the Movie,PSP,Action,Ubisoft,Phoenix Games Studio,60.0,0.19,2005-12-20,0.16,0.01,0.0,0.02,0.19,10.0,22.0,T,,,,,,,64.0,,,,,,,,Ubisoft,UBSFY
Manhunt,XB,Action,Rockstar Games,Rockstar North,77.0,0.19,2004-04-20,0.14,0.04,0.0,0.01,0.19,37.0,19.0,M,,,,,,,79.0,,,,,,,,Take Two Interactive,TTWO
Dynasty Warriors: Gundam 2,X360,Action,Namco Bandai,Omega Force,56.0,0.19,2009-04-21,0.07,0.03,0.08,0.01,0.19,30.0,18.0,T,,,,,,,70.0,,,,,,,,Bandai Namco,7832.T
Spider-Man: Shattered Dimensions,DS,Action,Activision,Beenox Studios,73.0,0.19,2010-09-07,0.17,0.01,0.0,0.01,0.19,13.0,6.0,E10+,,,,,,,70.0,,,,,,,,Activision Blizzard,ATVI
Silent Hill HD Collection,X360,Action,Konami Digital Entertainment,Konami,69.0,0.19,2012-03-20,0.11,0.06,0.01,0.02,0.19,17.0,98.0,M,,,,,,,56.0,,,,,,,,Konami,9766.T
Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,Action,Konami,Konami,50.0,0.19,2004-10-19,0.15,0.04,0.0,0.01,0.19,16.0,7.0,T,,,,,,,46.0,,,,,,,,Konami,9766.T
Tenchu: Fatal Shadows,PS2,Action,Sega,K2 LLC,58.0,0.19,2005-02-15,0.09,0.07,0.0,0.02,0.19,33.0,24.0,M,,,,,,,80.0,,,,,,,,Sega,6460.T
Remember Me,X360,Action,Capcom,DONTNOD Entertainment,70.0,0.19,2013-06-04,0.1,0.06,0.0,0.02,0.18,42.0,267.0,M,,,,,,,75.0,,,,,,,,Capcom,CCOEF
Rise of the Kasai,PS2,Action,Sony Computer Entertainment,BottleRocket Entertainment,68.0,0.19,2005-04-05,0.09,0.07,0.0,0.02,0.19,37.0,5.0,M,,,,,,,80.0,,,,,,,,Sony,SONY
Dynasty Warriors Gundam,X360,Action,Namco Bandai,Omega Force,60.0,0.19,2007-08-28,0.15,0.01,0.02,0.01,0.19,34.0,20.0,T,,,,,,,68.0,,,,,,,,Bandai Namco,7832.T
Binary Domain,X360,Action,Sega,Amusement Vision,74.0,0.19,2012-02-28,0.09,0.06,0.02,0.02,0.19,43.0,185.0,M,,,,,,,80.0,,,,,,,,Sega,6460.T
Shadows of the Damned,X360,Action,Electronic Arts,Grasshopper Manufacture,76.0,0.19,2011-06-21,0.1,0.06,0.01,0.02,0.19,76.0,139.0,M,,,,,,,84.0,,,,,,,,EA,EA
Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,Action,Activision,Krome Studios,63.0,0.19,2005-10-12,0.09,0.07,0.0,0.02,0.19,13.0,15.0,E10+,,,,,,,81.0,,,,,,,,Activision Blizzard,ATVI
Blood Omen 2,XB,Action,Eidos Interactive,Crystal Dynamics,76.0,0.19,2002-03-21,0.14,0.04,0.0,0.01,0.19,22.0,9.0,M,,,,,,,90.0,,,,,,,,Square Enix,SQNXF
Dragon Blade: Wrath of Fire,Wii,Action,D3 Publisher,D3 Publisher,51.0,0.18,2007-09-25,0.17,0.0,0.0,0.01,0.18,19.0,17.0,T,,,,,,,75.0,,,,,,,,Bandai Namco,7832.T
The Munchables,Wii,Action,Namco Bandai,Namco Bandai Games,80.0,0.18,2009-05-26,0.17,0.0,0.0,0.01,0.18,33.0,5.0,E,,,,,,,82.0,,,,,,,,Bandai Namco,7832.T
Fear Effect 2: Retro Helix,PS,Action,Eidos Interactive,Kronos Digital Entertainment,84.0,0.18,2001-02-21,0.1,0.07,0.0,0.01,0.18,15.0,17.0,M,,,,,,,89.0,Fear Effect 2: Retro Helix,KronosDigitalEntertainment,Action Adventure;Horror,PS,84.0,86.0,1 Player,Square Enix,SQNXF
Anarchy Reigns,X360,Action,Sega,PlatinumGames,73.0,0.18,2013-01-08,0.12,0.02,0.02,0.01,0.17,38.0,105.0,M,,,,,,,79.0,,,,,,,,Sega,6460.T
Cabela's Big Game Hunter 2005 Adventures,XB,Action,Activision,FUN Labs,65.0,0.18,2004-11-23,0.13,0.04,0.0,0.01,0.18,5.0,6.0,T,,,,,,,83.0,,,,,,,,Activision Blizzard,ATVI
SoulCalibur Legends,Wii,Action,Namco Bandai,Project Soul,48.0,0.18,2007-11-20,0.16,0.01,0.0,0.01,0.18,35.0,24.0,T,,,,,,,57.0,,,,,,,,Bandai Namco,7832.T
Spider-Man: Friend or Foe,PSP,Action,Activision,Artificial Mind and Movement,50.0,0.18,2007-10-02,0.16,0.0,0.0,0.01,0.18,7.0,9.0,E10+,,,,,,,44.0,,,,,,,,Activision Blizzard,ATVI
Hellboy: The Science of Evil,PS3,Action,Konami,Krome Studios,47.0,0.18,2008-06-24,0.13,0.02,0.0,0.02,0.17,23.0,10.0,T,,,,,,,61.0,,,,,,,,Konami,9766.T
How to Train Your Dragon,PS3,Action,Activision,Etranges Libellules,46.0,0.18,2010-03-23,0.12,0.03,0.0,0.02,0.18,18.0,6.0,E10+,,,,,,,70.0,,,,,,,,Activision Blizzard,ATVI
Splatterhouse,X360,Action,Namco Bandai,BottleRocket,62.0,0.18,2010-11-23,0.14,0.03,0.0,0.01,0.18,51.0,60.0,M,,,,,,,76.0,,,,,,,,Bandai Namco,7832.T
Naruto Shippuden: Dragon Blade Chronicles,Wii,Action,Atlus,8ing/Raizing,43.0,0.18,2010-11-16,0.11,0.01,0.05,0.01,0.18,14.0,12.0,E10+,,,,,,,30.0,,,,,,,,Sega,SGAMY
Ball Breakers,PS,Action,Take-Two Interactive,Lost Toys,68.0,0.18,2000-07-26,0.1,0.07,0.0,0.01,0.18,10.0,4.0,E,,,,,,,53.0,,,,,,,,Take Two Interactive,TTWO
Twisted Metal: Small Brawl,PS,Action,Sony Computer Entertainment,Incognito Inc.,51.0,0.18,2001-11-26,0.1,0.07,0.0,0.01,0.18,14.0,49.0,T,,,,,,,76.0,,,,,,,,Sony,SONY
True Crime: New York City,GC,Action,Activision,EXAKT Entertainment,64.0,0.17,2005-11-15,0.13,0.03,0.0,0.0,0.17,25.0,24.0,M,,,,,,,88.0,,,,,,,,Activision Blizzard,ATVI
X-Men: The Official Game,X360,Action,Activision,"Z-Axis, Ltd.",49.0,0.17,2006-05-16,0.16,0.0,0.0,0.01,0.17,57.0,20.0,T,,,,,,,61.0,,,,,,,,Activision Blizzard,ATVI
Captain America: Super Soldier,X360,Action,Sega,Next Level Games,59.0,0.17,2011-07-19,0.11,0.05,0.0,0.01,0.17,48.0,37.0,T,,,,,,,64.0,,,,,,,,Sega,6460.T
Thief: Deadly Shadows,XB,Action,Eidos Interactive,Unknown,82.0,0.17,2004-05-25,0.13,0.04,0.0,0.01,0.17,61.0,12.0,M,,,,,,,73.0,Thief: Deadly Shadows,IonStorm,Action Adventure;Fantasy,XB,82.0,70.0,1 Player,Square Enix,SQNXF
Batman Begins,GBA,Action,Electronic Arts,Vicarious Visions,63.0,0.17,2005-06-14,0.12,0.05,0.0,0.0,0.17,5.0,9.0,E10+,,,,,,,69.0,,,,,,,,EA,EA
Bee Movie Game,X360,Action,Activision,Beenox,68.0,0.17,2007-10-30,0.16,0.0,0.0,0.01,0.17,25.0,13.0,E,,,,,,,58.0,,,,,,,,Activision Blizzard,ATVI
Spawn: Armageddon,XB,Action,Namco,Point of View,57.0,0.17,2003-11-21,0.13,0.04,0.0,0.01,0.17,27.0,5.0,M,,,,,,,92.0,,,,,,,,Bandai Namco,7832.T
The Cursed Crusade,PS3,Action,Atlus,Kylotonn Entertainment,40.0,0.17,2011-10-25,0.07,0.06,0.01,0.03,0.17,17.0,26.0,M,,,,,,,50.0,,,,,,,,Sega,SGAMY
Prototype: Biohazard Bundle,PS4,Action,Activision,Activision,48.0,0.17,2016-10-11,0.01,0.0,0.0,0.0,0.02,4.0,53.0,M,,,,,,,20.0,,,,,,,,Activision Blizzard,ATVI
Catwoman,PS2,Action,Electronic Arts,Argonaut Games,46.0,0.17,2004-07-20,0.08,0.06,0.0,0.02,0.17,35.0,13.0,T,,,,,,,69.0,,,,,,,,EA,EA
Beat Down: Fists of Vengeance,PS2,Action,Capcom,Cavia Inc.,48.0,0.17,2005-08-23,0.04,0.03,0.09,0.01,0.17,33.0,12.0,M,,,,,,,81.0,,,,,,,,Capcom,CCOEF
State of Emergency,XB,Action,Rockstar Games,VIS Entertainment,67.0,0.17,2003-03-26,0.13,0.04,0.0,0.01,0.17,21.0,11.0,M,,,,,,,63.0,,,,,,,,Take Two Interactive,TTWO
Aliens: Infestation,DS,Action,Sega,Way Forward,85.0,0.17,2011-10-11,0.09,0.05,0.0,0.02,0.16,43.0,29.0,T,,,,,,,82.0,,,,,,,,Sega,6460.T
Splatterhouse,PS3,Action,Namco Bandai,BottleRocket,59.0,0.16,2010-11-23,0.13,0.02,0.0,0.02,0.16,49.0,67.0,M,,,,,,,77.0,,,,,,,,Bandai Namco,7832.T
Lara Croft and the Temple of Osiris,PC,Action,Square Enix,Crystal Dynamics,73.0,0.02,2014-12-09,0.0,0.02,0.0,0.0,0.02,17.0,52.0,T,8.0,9.0,0.0,2.0,3.0,2.0,54.0,,,,,,,,Square Enix,SQNXF
Battlezone,PS4,Action,Sony Interactive Entertainment,Rebellion Developments,66.0,0.16,2016-10-13,0.02,0.02,0.0,0.01,0.04,39.0,31.0,T,10.0,27.0,3.0,5.0,3.0,0.0,70.0,,,,,,,Up to 4 ,Sony,SONY
Beowulf: The Game,PS3,Action,Ubisoft,Ubisoft,51.0,0.16,2007-11-13,0.14,0.01,0.0,0.01,0.16,18.0,17.0,M,,,,,,,52.0,,,,,,,,Ubisoft,UBSFY
Chaotic: Shadow Warriors,X360,Action,Activision,Activision,62.0,0.16,2009-11-17,0.14,0.0,0.0,0.01,0.16,4.0,4.0,E10+,,,,,,,50.0,,,,,,,,Activision Blizzard,ATVI
Ultimate Spider-Man,DS,Action,Activision,Vicarious Visions,78.0,0.15,2005-09-19,0.14,0.0,0.0,0.01,0.15,17.0,10.0,E10+,,,,,,,77.0,Ultimate Spider-Man,VicariousVisions,Action;Action Adventure;Beat-'Em-Up;General;Platformer;Beat-'Em-Up;2D,DS,78.0,77.0,1-2 ,Activision Blizzard,ATVI
Prince of Persia: The Forgotten Sands,DS,Action,Ubisoft,Ubisoft Montreal,57.0,0.15,2010-05-18,0.14,0.01,0.0,0.01,0.15,7.0,6.0,E10+,,,,,,,63.0,,,,,,,,Ubisoft,UBSFY
Thor: God of Thunder,Wii,Action,Sega,Red Fly Studio,64.0,0.15,2011-05-03,0.1,0.04,0.0,0.01,0.15,14.0,9.0,T,,,,,,,80.0,,,,,,,,Sega,6460.T
Fantastic Four: Rise of the Silver Surfer,PS3,Action,2K Games,Visual Concepts,47.0,0.15,2007-06-15,0.12,0.02,0.0,0.02,0.15,26.0,10.0,T,,,,,,,62.0,,,,,,,,Take Two Interactive,TTWO
Killer7,GC,Action,Capcom,Grasshopper Manufacture,72.0,0.15,2005-07-07,0.12,0.03,0.0,0.0,0.15,57.0,64.0,M,,,,,,,85.0,,,,,,,,Capcom,CCOEF
Transformers: Devastation,XOne,Action,Activision,PlatinumGames,75.0,0.15,2015-10-06,0.09,0.04,0.0,0.01,0.14,25.0,55.0,T,16.0,9.0,0.0,13.0,4.0,1.0,79.0,,,,,,,,Activision Blizzard,ATVI
X-Men: The Official Game,GC,Action,Activision,Hypnos,50.0,0.15,2006-05-16,0.12,0.03,0.0,0.0,0.15,31.0,8.0,T,,,,,,,63.0,,,,,,,,Activision Blizzard,ATVI
Batman Begins,GC,Action,Electronic Arts,Eurocom Entertainment Software,66.0,0.15,2005-06-14,0.11,0.03,0.0,0.0,0.15,38.0,10.0,T,,,,,,,72.0,,,,,,,,EA,EA
The Cursed Crusade,X360,Action,Atlus,Kylotonn Entertainment,39.0,0.15,2011-10-25,0.08,0.05,0.0,0.01,0.15,27.0,29.0,M,,,,,,,44.0,,,,,,,,Sega,SGAMY
Metroid Prime: Federation Force,3DS,Action,Nintendo,Next Level Games,63.0,0.15,2016-08-19,0.02,0.01,0.01,0.0,0.05,56.0,219.0,T,15.0,35.0,6.0,29.0,9.0,13.0,51.0,,,,,,,Up to 4 ,Nintendo,NTDOY
