,title,release_date,company,stock,console,genre_x,critic_score,total_sales,user_score
195,Madden NFL 2003,2002-08-12,EA,EA,"PS2, XB, GC",Sports,92.33333333333333,5.279999999999999,81.66666666666667
196,Madden NFL 2004,2003-08-12,EA,EA,"PS2, XB, GC, GBA",Sports,87.25,7.14,77.75
197,Madden NFL 2005,2004-08-09,EA,EA,"PS2, XB, GBA",Sports,88.33333333333333,6.64,77.0
206,Mass Effect,2008-05-28,EA,EA,PC,Role-Playing,91.0,0.67,86.0
207,Mass Effect 2,2010-01-26,EA,EA,"X360, PC",Role-Playing,95.5,3.49,88.5
208,Mass Effect 2,2011-01-18,EA,EA,PS3,Role-Playing,93.0,1.46,85.0
209,Mass Effect 3,2012-03-06,EA,EA,"X360, PS3, PC",Role-Playing,91.66666666666667,5.46,56.0
210,Medal of Honor,1999-11-11,EA,EA,PS,Shooter,93.0,2.67,86.0
218,Medal of Honor: Frontline,2002-05-28,EA,EA,PS2,Shooter,90.0,6.83,85.0
222,Medal of Honor: Underground,2000-10-23,EA,EA,PS,Shooter,86.0,0.97,90.0
244,NASCAR 2005: Chase for the Cup,2004-08-31,EA,EA,PS2,Racing,87.0,1.41,84.0
248,NASCAR Thunder 2003,2002-09-19,EA,EA,GC,Racing,88.0,0.31,66.0
250,NASCAR Thunder 2004,2003-09-16,EA,EA,"PS2, XB",Racing,86.5,1.31,90.0
266,NBA Live 2001,2000-10-16,EA,EA,PS,Sports,86.0,1.25,80.0
271,NBA Live 2004,2003-10-14,EA,EA,"PS2, XB",Sports,85.5,2.54,79.5
274,NBA Street,2001-06-18,EA,EA,PS2,Sports,89.0,2.79,86.0
275,NBA Street,2002-02-17,EA,EA,GC,Sports,88.0,0.42,86.0
278,NBA Street V3,2005-02-08,EA,EA,"PS2, XB, GC",Sports,88.66666666666667,1.6700000000000002,86.66666666666667
279,NBA Street Vol. 2,2003-04-28,EA,EA,"PS2, XB, GC",Sports,89.0,3.17,85.66666666666667
283,NCAA Football 06,2005-07-11,EA,EA,"PS2, XB",Sports,87.0,2.81,84.0
293,NCAA Football 2002,2001-07-23,EA,EA,PS2,Sports,90.0,1.57,87.0
294,NCAA Football 2003,2002-07-20,EA,EA,"PS2, XB, GC",Sports,91.0,2.17,83.0
295,NCAA Football 2004,2003-07-16,EA,EA,"PS2, XB, GC",Sports,85.33333333333333,2.25,83.66666666666667
296,NCAA Football 2005,2004-07-15,EA,EA,"PS2, XB, GC",Sports,88.33333333333333,2.5200000000000005,86.0
313,NHL 08,2007-09-11,EA,EA,PS3,Sports,86.0,0.25,69.0
315,NHL 09,2008-09-09,EA,EA,"X360, PS3",Sports,89.0,0.8400000000000001,80.5
317,NHL 10,2009-09-15,EA,EA,"X360, PS3",Sports,91.0,1.23,81.5
318,NHL 11,2010-09-07,EA,EA,"X360, PS3",Sports,88.0,1.3199999999999998,74.0
319,NHL 12,2011-09-13,EA,EA,"X360, PS3",Sports,87.0,1.2799999999999998,72.5
325,NHL 2001,2000-09-26,EA,EA,PS,Sports,88.0,0.63,77.0
327,NHL 2002,2001-09-24,EA,EA,PS2,Sports,92.0,1.2,85.0
328,NHL 2002,2001-12-10,EA,EA,XB,Sports,89.0,0.27,88.0
360,Oddworld: Stranger's Wrath,2005-01-25,EA,EA,XB,Action,88.0,0.26,91.0
364,Plants vs. Zombies,2009-05-05,EA,EA,"PC, PC",Misc,88.5,0.1,89.0
365,Plants vs. Zombies,2010-09-08,EA,EA,X360,Misc,89.0,0.26,82.0
366,Plants vs. Zombies,2010-09-28,EA,EA,X360,Strategy,89.0,0.27,82.0
378,SSX,2000-10-30,EA,EA,PS2,Sports,93.0,1.66,83.0
380,SSX 3,2003-10-20,EA,EA,"PS2, XB, GC",Sports,93.33333333333333,2.44,88.33333333333333
383,SSX Tricky,2001-11-05,EA,EA,PS2,Sports,92.0,1.73,89.0
385,SSX Tricky,2001-12-10,EA,EA,XB,Sports,88.0,0.43,85.0
390,SimCity 4,2003-01-12,EA,EA,PC,Simulation,87.0,0.28,87.0
394,Skate,2007-09-14,EA,EA,X360,Sports,86.0,0.71,84.0
420,The Orange Box,2007-10-10,EA,EA,"X360, PC",Shooter,97.0,1.96,91.0
421,The Orange Box,2007-12-11,EA,EA,PS3,Shooter,87.0,1.07,84.0
430,The Sims,2000-01-31,EA,EA,PC,Simulation,89.0,0.05,79.0
434,The Sims 2,2004-09-14,EA,EA,PC,Simulation,89.0,0.29,88.0
461,The Sims Deluxe,2002-09-15,EA,EA,PC,Simulation,92.0,0.04,82.0
485,Tiger Woods PGA Tour 10,2009-06-08,EA,EA,"Wii, PS3, X360",Sports,85.66666666666667,2.5,78.0
491,Tiger Woods PGA Tour 2003,2002-10-27,EA,EA,"PS2, XB, GC",Sports,88.66666666666667,2.31,84.66666666666667
492,Tiger Woods PGA Tour 2004,2003-09-22,EA,EA,"PS2, XB, GC",Sports,89.0,2.41,82.66666666666667
494,Tiger Woods PGA Tour 2005,2004-09-20,EA,EA,"PS2, XB, PC",Sports,89.0,2.3,72.0
496,Titanfall,2014-03-11,EA,EA,"XOne, PC",Shooter,86.0,3.6999999999999997,63.0
498,Titanfall 2,2016-10-28,EA,EA,"PS4, XOne, PC",Shooter,87.0,3.29,81.33333333333333
504,Warhammer Online: Age of Reckoning,2008-09-18,EA,EA,PC,Role-Playing,86.0,0.02,79.0
