,title,release_date,company,stock,console,genre_x,critic_score,total_sales,user_score
14,Battlefield 1,2016-10-21,EA,EA,"PS4, XOne, PC",Shooter,91.66666666666667,13.16,80.66666666666667
15,Battlefield 1942,2002-09-10,EA,EA,PC,Shooter,90.0,0.03,86.0
16,Battlefield 2,2005-06-21,EA,EA,PC,Shooter,90.0,0.08,84.0
20,Battlefield 3,2011-10-25,EA,EA,"X360, PS3, PC",Shooter,86.33333333333333,17.32,74.66666666666667
25,Battlefield: Bad Company,2008-06-23,EA,EA,"X360, PS3",Shooter,86.0,2.8,79.0
26,Battlefield: Bad Company 2,2010-03-02,EA,EA,"X360, PS3, PC",Shooter,89.0,7.159999999999999,88.0
34,Boom Blox,2008-05-06,EA,EA,Wii,Puzzle,86.0,1.21,89.0
35,Boom Blox Bash Party,2009-05-19,EA,EA,Wii,Puzzle,88.0,0.46,84.0
38,Bulletstorm,2011-02-22,EA,EA,"X360, PS3, PC",Shooter,85.33333333333333,1.72,76.66666666666667
39,Burnout 3: Takedown,2004-09-07,EA,EA,"PS2, XB",Racing,93.0,3.99,81.5
43,Burnout Paradise,2008-01-22,EA,EA,"PS3, X360",Racing,89.5,3.3,73.0
44,Burnout Paradise: The Ultimate Box,2009-02-05,EA,EA,PC,Racing,87.0,0.09,75.0
45,Burnout Revenge,2005-09-13,EA,EA,"XB, PS2",Action,89.5,1.4300000000000002,86.0
46,Burnout Revenge,2006-03-07,EA,EA,X360,Racing,88.0,0.5,81.0
52,Crysis,2007-11-13,EA,EA,PC,Shooter,92.0,0.71,85.0
53,Crysis 2,2011-03-22,EA,EA,"X360, PS3, PC",Shooter,87.33333333333333,3.43,71.66666666666667
59,Dead Space,2008-10-13,EA,EA,"PS3, X360",Shooter,89.0,3.4,87.5
60,Dead Space,2008-10-20,EA,EA,PC,Shooter,88.0,0.59,80.0
61,Dead Space 2,2011-01-25,EA,EA,"X360, PS3, PC",Shooter,90.0,3.27,84.33333333333333
71,Dragon Age: Inquisition,2014-11-18,EA,EA,"PS4, XOne, PC",Role-Playing,86.33333333333333,4.11,67.33333333333333
72,Dragon Age: Origins,2009-11-03,EA,EA,"X360, PS3, PC",Role-Playing,87.66666666666667,4.73,81.33333333333333
87,FIFA 14,2013-09-24,EA,EA,"PS3, X360, PC",Sports,85.66666666666667,11.140000000000002,43.666666666666664
88,FIFA 14,2013-11-15,EA,EA,PS4,Sports,87.0,3.43,63.0
89,FIFA 14,2013-11-22,EA,EA,XOne,Sports,88.0,1.31,58.0
91,FIFA 16,2015-09-22,EA,EA,"PS4, XOne, PS3, X360, PC",Sports,87.0,15.82,38.4
92,FIFA 17,2016-09-27,EA,EA,"PS4, XOne, PC",Sports,87.0,14.839999999999998,49.0
104,FIFA Soccer 10,2009-10-20,EA,EA,"PS3, X360, PSP, Wii",Sports,85.25,8.39,73.0
109,FIFA Soccer 2003,2002-11-12,EA,EA,XB,Sports,88.0,0.63,77.0
110,FIFA Soccer 2003,2002-11-14,EA,EA,"PS2, GC",Sports,87.0,3.48,72.5
124,Fight Night Round 2,2005-02-28,EA,EA,"PS2, XB, GC",Fighting,87.66666666666667,1.64,85.66666666666667
128,Fight Night Round 4,2009-06-23,EA,EA,"PS3, X360",Fighting,86.5,2.92,78.5
138,Half-Life 2,2005-11-15,EA,EA,XB,Shooter,89.0,0.61,86.0
155,Henry Hatsworth in the Puzzling Adventure,2009-03-17,EA,EA,DS,Puzzle,91.0,0.09,80.0
168,Left 4 Dead 2,2009-11-17,EA,EA,X360,Shooter,90.0,3.97,86.0
172,MVP Baseball 2004,2004-03-09,EA,EA,"PS2, XB, GC",Sports,89.66666666666667,2.1900000000000004,85.33333333333333
173,MVP Baseball 2005,2005-02-22,EA,EA,"PS2, GC",Sports,87.0,1.87,86.5
190,Madden NFL 2001,2000-08-22,EA,EA,PS,Sports,90.0,1.67,68.0
191,Madden NFL 2001,2000-10-23,EA,EA,PS2,Sports,91.0,1.5,77.0
192,Madden NFL 2002,2001-08-13,EA,EA,PS,Sports,88.0,1.39,80.0
193,Madden NFL 2002,2001-08-19,EA,EA,PS2,Sports,94.0,3.08,79.0
194,Madden NFL 2002,2001-10-29,EA,EA,XB,Sports,90.0,0.58,81.0
