,title,release_date,company,stock,console,genre_x,critic_score,total_sales,user_score
225,Mercenaries 2: World in Flames,2008-08-31,EA,EA,"X360, PS3, PS2",Shooter,60.0,2.31,72.33333333333333
229,Monopoly,2008-10-20,EA,EA,"Wii, X360, PS3",Misc,60.0,2.82,67.66666666666667
230,Monopoly Streets,2010-10-26,EA,EA,"Wii, PS3, X360",Misc,65.0,1.4000000000000001,59.666666666666664
231,MySims,2007-09-18,EA,EA,"DS, Wii",Simulation,69.0,5.3100000000000005,72.5
235,MySims Racing,2009-06-08,EA,EA,"DS, Wii",Racing,67.5,1.08,73.5
236,MySims SkyHeroes,2010-09-28,EA,EA,"Wii, X360",Action,60.0,0.4,53.5
240,NASCAR 08,2007-07-23,EA,EA,"X360, PS2, PS3",Racing,57.333333333333336,0.76,61.333333333333336
241,NASCAR 09,2008-06-10,EA,EA,"PS3, X360",Racing,68.0,0.5,76.5
243,NASCAR 2001,2000-11-06,EA,EA,PS2,Racing,66.0,0.7,66.0
246,NASCAR Thunder 2002,2001-10-02,EA,EA,PS,Racing,69.0,0.42,69.0
255,NBA Live 06,2005-11-16,EA,EA,X360,Sports,65.0,0.29,56.0
256,NBA Live 07,2006-09-25,EA,EA,"PS2, PSP, X360, XB",Sports,64.25,2.3400000000000003,63.0
258,NBA Live 08,2007-10-02,EA,EA,Wii,Sports,52.0,0.16,71.0
260,NBA Live 09 All-Play,2008-10-07,EA,EA,Wii,Sports,51.0,0.22,59.0
262,NBA Live 14,2013-11-15,EA,EA,PS4,Sports,43.0,0.27,27.0
263,NBA Live 14,2013-11-22,EA,EA,XOne,Sports,36.0,0.24,31.0
264,NBA Live 15,2014-10-28,EA,EA,"PS4, XOne",Sports,56.0,0.47,62.0
265,NBA Live 16,2015-09-29,EA,EA,"PS4, XOne",Sports,59.5,0.33999999999999997,58.5
287,NCAA Football 09 All-Play,2008-07-15,EA,EA,Wii,Sports,53.0,0.16,58.0
298,NCAA March Madness 07,2007-01-17,EA,EA,"PS2, X360",Sports,65.0,0.77,78.5
299,NCAA March Madness 08,2007-12-11,EA,EA,PS3,Sports,67.0,0.09,38.0
303,NERF N-Strike,2008-10-28,EA,EA,Wii,Shooter,66.0,1.09,44.0
305,NFL Head Coach,2006-06-20,EA,EA,"PS2, XB",Sports,67.5,0.5700000000000001,70.0
306,NFL Head Coach 09,2008-09-03,EA,EA,"PS3, X360",Sports,65.5,0.25,77.5
310,NFL Tour,2008-01-08,EA,EA,X360,Sports,49.0,0.1,31.0
316,NHL 09,2008-10-20,EA,EA,PC,Sports,62.0,0.02,41.0
322,NHL 15,2014-09-09,EA,EA,"PS4, XOne",Sports,59.5,1.04,34.0
336,Need for Speed Carbon,2006-11-19,EA,EA,Wii,Racing,64.0,1.28,73.0
345,Need for Speed Underground 2,2005-05-10,EA,EA,DS,Racing,65.0,0.13,70.0
354,Need for Speed: ProStreet,2007-11-13,EA,EA,"PS2, PS3, Wii, DS, PC",Racing,67.8,5.720000000000001,64.8
356,Need for Speed: ProStreet,2008-02-18,EA,EA,PSP,Racing,56.0,0.78,71.0
358,Need for Speed: The Run,2011-11-15,EA,EA,"PS3, X360, PC, Wii, 3DS",Racing,63.2,4.21,55.6
359,Ninja Reflex,2008-03-04,EA,EA,Wii,Action,49.0,0.12,60.0
372,Rory McIlroy PGA Tour,2015-07-14,EA,EA,"PS4, XOne",Sports,60.5,0.8300000000000001,40.0
375,Rugby 2004,2003-09-16,EA,EA,PS2,Sports,50.0,0.22,68.0
388,SimAnimals,2009-01-21,EA,EA,"DS, Wii",Simulation,64.0,0.8300000000000001,48.0
389,SimCity (2013),2013-03-05,EA,EA,PC,Simulation,64.0,1.42,22.0
391,SimCity Creator,2008-09-22,EA,EA,"Wii, DS",Simulation,68.0,0.8,70.5
392,SimCity DS,2007-06-19,EA,EA,DS,Simulation,69.0,0.6,63.0
393,SimCity Societies,2007-11-13,EA,EA,PC,Simulation,63.0,0.02,43.0
398,Skate it,2008-11-19,EA,EA,"Wii, DS",Sports,69.0,0.75,81.0
